  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00003D7C,                    1,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389441206,          0,          0,     19, "\_SB.PC00.XHCI._DSW", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00003D7C,                    1,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389441231,          0,          0,     19, "\_SB.PC00.XHCI._DSW", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00003D7C,                    5,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389922863,         15,          0,     19, "\_SB.PC00.XHCI._PS3", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389926444,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389930271,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389930299,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389932622,      30345,          0,     19, "\_SB.PC00.XHCI._ADR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000220,                   11,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561389932873,      30345,          0,     19, "\_SB.PC00.XHCI._PS3", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398665484,  110914350,          0, 0x5, 128
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398668882,  110914350,          0, 0xD, 32
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398670465,  110914350,          0,     19, "\_SB.PC00.TXHC._DSW", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398682298,  110914350,          0, 0x5, 128
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398682837,  110914350,          0, 0xD, 32
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398684010,  110914350,          0, 0x5, 128
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398685374,  110914350,          0, 0xD, 32
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398695086,  110914350,          0,     19, "\_SB.PC00.HDAS._DSW", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398701774,  110914350,          0, 0x5, 128
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398703136,  110914350,          0, 0xD, 32
Microsoft-Windows-Kernel-Acpi ,          0,            2,          0,         16,          4,          0,        101, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024561398704316,  110914350,          0, 0x5, 128
