  Event Name,       Type,     Event ID,    Version,    Channel,      Level,     Opcode,       Task,            Keyword,        PID,        TID,     Processor Number,  Instance ID,   Parent Instance ID,                              Activity ID,                      Related Activity ID,           Clock-Time, Kernel(ms),   User(ms), User Data
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027315155404,       7125,          0,     19, "\_SB.PC00.GFX0._DOS", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027315156298,       7125,          0,     19, "\_SB.PC00.GFX0._DOS", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000014,                    4,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027330733719,       5985,          0,     19, "\_SB.PC00.GFX0._PS3", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027330735092,        450,          0,     19, "\_SB.PC00.GFX0._PS3", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027504662896,      18165,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027504664691,      18165,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027504664791,      18165,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027504666920,      18165,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    5,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027607550064,       7140,          0,     19, "\_SB.PC00.GFX0._PS0", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027607550503,        450,          0,     19, "\_SB.PC00.GFX0._PS0", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027607657368,       7140,          0,     19, "\_SB.PC00.GFX0._DOS", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000010,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027607658447,       7140,          0,     19, "\_SB.PC00.GFX0._DOS", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00000014,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027623134006,       5985,          0,     19, "\_SB.PC00.GFX0._PS3", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    5,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027623134400,        450,          0,     19, "\_SB.PC00.GFX0._PS3", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027632726854,      18300,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027632728695,      18300,          0,     24, "\_SB.PC00.LPCB.BAT0._BST", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027632728793,      18300,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027632730977,      18300,          0,     24, "\_SB.PC00.LPCB.ADP0._PSR", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000000, 0x00000000,                    0,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654496591,   13647255,          0,     10, "\_GPE._L02", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654504935,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654512988,        450,          0,     10, "\_GPE._L02", "finished ",                2
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x0000022C,                    6,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654513185,        450,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "finished ",                1
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654513273,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "started ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654513562,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._STA", "finished ",                0
Microsoft-Windows-Kernel-Acpi ,          0,            7,          0,         16,          4,          0,        105, 0x0000000000000001, 0x00000004, 0x00004A80,                    9,             ,                     ,   {00000000-0000-0000-0000-000000000000},                                         ,   134024027654513803,      18330,          0,     24, "\_SB.PC00.LPCB.BAT0._BIF", "started ",                0
